id,Suburb,Street,Start House Number,End House Number,General Waste Day,Recycle / Green Waste Day
1,ACACIA RIDGE,ACHIEVEMENT CRES,3,80,Every WEDNESDAY,Every Alternative WEDNESDAY
2,ACACIA RIDGE,ACTIVITY ST,6,54,Every FRIDAY,Every Alternative FRIDAY
3,ACACIA RIDGE,AGNES ST,3,66,Every WEDNESDAY,Every Alternative WEDNESDAY
4,ACACIA RIDGE,ALDERWOOD ST,1,92,Every WEDNESDAY,Every Alternative WEDNESDAY
5,ACACIA RIDGE,ALROY ST,3,8,Every WEDNESDAY,Every Alternative WEDNESDAY
6,ACACIA RIDGE,ALVESTON ST,4,34,Every FRIDAY,Every Alternative FRIDAY
7,ACACIA RIDGE,AMBER ST,1,5,Every WEDNESDAY,Every Alternative WEDNESDAY
8,ACACIA RIDGE,AMHERST ST,20,79,Every WEDNESDAY,Every Alternative WEDNESDAY
9,ACACIA RIDGE,ANNEAR ST,8,29,Every WEDNESDAY,Every Alternative WEDNESDAY
10,ACACIA RIDGE,ANTRIM ST,2,60,Every WEDNESDAY,Every Alternative WEDNESDAY
11,ACACIA RIDGE,APLIN ST,3,21,Every WEDNESDAY,Every Alternative WEDNESDAY
12,ACACIA RIDGE,BEATTY RD,490,645,Every WEDNESDAY,Every Alternative WEDNESDAY
13,ACACIA RIDGE,BEAUDESERT RD,1074,1768,Every FRIDAY,Every Alternative FRIDAY
14,ACACIA RIDGE,BEAUDESERT RD,1123,1477,Every WEDNESDAY,Every Alternative WEDNESDAY
15,ACACIA RIDGE,BEENLEIGH RD,101,139,Every FRIDAY,Every Alternative FRIDAY
16,ACACIA RIDGE,BELLAMY ST,1,66,Every WEDNESDAY,Every Alternative WEDNESDAY
17,ACACIA RIDGE,BELLRICK ST,9,71,Every FRIDAY,Every Alternative FRIDAY
18,ACACIA RIDGE,BENTON ST,3,33,Every WEDNESDAY,Every Alternative WEDNESDAY
19,ACACIA RIDGE,BEXHILL ST,1,8,Every WEDNESDAY,Every Alternative WEDNESDAY
20,ACACIA RIDGE,BOUNDARY RD,755,755,Every FRIDAY,Every Alternative FRIDAY
21,ACACIA RIDGE,BRADMAN ST,15,470,Every FRIDAY,Every Alternative FRIDAY
22,ACACIA RIDGE,CALADENIA ST,3,27,Every WEDNESDAY,Every Alternative WEDNESDAY
23,ACACIA RIDGE,CALDON ST,1,10,Every WEDNESDAY,Every Alternative WEDNESDAY
24,ACACIA RIDGE,CALLARD ST,2,21,Every FRIDAY,Every Alternative FRIDAY
25,ACACIA RIDGE,CALLITRIS ST,2,16,Every WEDNESDAY,Every Alternative WEDNESDAY
26,ACACIA RIDGE,CAROWELL ST,1,31,Every WEDNESDAY,Every Alternative WEDNESDAY
27,ACACIA RIDGE,CELTIS ST,3,21,Every WEDNESDAY,Every Alternative WEDNESDAY
28,ACACIA RIDGE,CHANDLER ST,3,28,Every WEDNESDAY,Every Alternative WEDNESDAY
29,ACACIA RIDGE,CHARDEAN ST,8,86,Every WEDNESDAY,Every Alternative WEDNESDAY
30,ACACIA RIDGE,CHIFLEY ST,29,43,Every WEDNESDAY,Every Alternative WEDNESDAY
31,ACACIA RIDGE,COLBORNE ST,1,26,Every WEDNESDAY,Every Alternative WEDNESDAY
32,ACACIA RIDGE,COLEBARD ST,1,105,Every WEDNESDAY,Every Alternative WEDNESDAY
33,ACACIA RIDGE,COLEY ST,1,11,Every WEDNESDAY,Every Alternative WEDNESDAY
34,ACACIA RIDGE,COURTICE ST,9,25,Every WEDNESDAY,Every Alternative WEDNESDAY
35,ACACIA RIDGE,CULROSS ST,1,22,Every WEDNESDAY,Every Alternative WEDNESDAY
36,ACACIA RIDGE,DEE ST,4,4,Every WEDNESDAY,Every Alternative WEDNESDAY
37,ACACIA RIDGE,DELLOW ST,1,50,Every WEDNESDAY,Every Alternative WEDNESDAY
38,ACACIA RIDGE,DELONG ST,2,18,Every WEDNESDAY,Every Alternative WEDNESDAY
39,ACACIA RIDGE,DULACCA ST,4,76,Every FRIDAY,Every Alternative FRIDAY
40,ACACIA RIDGE,DUNKELD ST,2,38,Every WEDNESDAY,Every Alternative WEDNESDAY
41,ACACIA RIDGE,DURBELL ST,3,20,Every FRIDAY,Every Alternative FRIDAY
42,ACACIA RIDGE,EADE ST,4,4,Every WEDNESDAY,Every Alternative WEDNESDAY
43,ACACIA RIDGE,EBURY ST,3,6,Every WEDNESDAY,Every Alternative WEDNESDAY
44,ACACIA RIDGE,ELIZABETH ST,28,99,Every WEDNESDAY,Every Alternative WEDNESDAY
45,ACACIA RIDGE,EMILY ST,1,39,Every WEDNESDAY,Every Alternative WEDNESDAY
46,ACACIA RIDGE,FADDEN ST,3,26,Every WEDNESDAY,Every Alternative WEDNESDAY
47,ACACIA RIDGE,FAIREY ST,16,32,Every FRIDAY,Every Alternative FRIDAY
48,ACACIA RIDGE,FARRAR ST,3,45,Every WEDNESDAY,Every Alternative WEDNESDAY
49,ACACIA RIDGE,FINLAYSON ST,10,68,Every WEDNESDAY,Every Alternative WEDNESDAY
50,ACACIA RIDGE,FITZ ST,3,12,Every WEDNESDAY,Every Alternative WEDNESDAY
51,ACACIA RIDGE,FLAXTON ST,2,39,Every WEDNESDAY,Every Alternative WEDNESDAY
52,ACACIA RIDGE,FOOTE ST,3,29,Every WEDNESDAY,Every Alternative WEDNESDAY
53,ACACIA RIDGE,FORGAN ST,3,17,Every WEDNESDAY,Every Alternative WEDNESDAY
54,ACACIA RIDGE,FOX RD,1,30,Every FRIDAY,Every Alternative FRIDAY
55,ACACIA RIDGE,GEMSTONE CRES,1,50,Every WEDNESDAY,Every Alternative WEDNESDAY
56,ACACIA RIDGE,GLENVIEW ST,3,27,Every FRIDAY,Every Alternative FRIDAY
57,ACACIA RIDGE,GLOUCESTER ST,1,54,Every WEDNESDAY,Every Alternative WEDNESDAY
58,ACACIA RIDGE,GREGORY ST,1,169,Every WEDNESDAY,Every Alternative WEDNESDAY
59,ACACIA RIDGE,HANIFY ST,10,26,Every WEDNESDAY,Every Alternative WEDNESDAY
60,ACACIA RIDGE,HARDEN ST,8,62,Every WEDNESDAY,Every Alternative WEDNESDAY
61,ACACIA RIDGE,HARPULLIA ST,5,32,Every WEDNESDAY,Every Alternative WEDNESDAY
62,ACACIA RIDGE,HEMSWORTH ST,1,48,Every WEDNESDAY,Every Alternative WEDNESDAY
63,ACACIA RIDGE,HIGHBURY ST,10,45,Every FRIDAY,Every Alternative FRIDAY
64,ACACIA RIDGE,HODEL ST,9,33,Every WEDNESDAY,Every Alternative WEDNESDAY
